
REM CLNr    Gerätekennung             AnzKategorie    Bezeichnung             Kommentar                           RO   Text0                    Text1               MaskCSV

1;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL1"_____________;	"Coil 1"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
106;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL106"___________;	"Coil 106"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
107;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL107"___________;	"Coil 107"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
108;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL108"___________;	"Coil 108"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
109;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL109"___________;	"Coil 109"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
110;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL110"___________;	"Coil 110"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
111;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL111"___________;	"Coil 111"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
112;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL112"___________;	"Coil 112"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
113;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL113"___________;	"Coil 113"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
114;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL114"___________;	"Coil 114"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
115;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL115"___________;	"Coil 115"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
116;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL116"___________;	"Coil 116"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
117;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL117"___________;	"Coil 117"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
118;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL118"___________;	"Coil 118"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
119;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL119"___________;	"Coil 119"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
120;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL120"___________;	"Coil 120"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
121;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL121"___________;	"Coil 121"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
122;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL122"___________;	"Coil 122"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
123;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL123"___________;	"Coil 123"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
124;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL124"___________;	"Coil 124"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
125;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL125"___________;	"Coil 125"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
126;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL126"___________;	"Coil 126"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
127;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL127"___________;	"Coil 127"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
128;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL128"___________;	"Coil 128"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
129;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL129"___________;	"Coil 129"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
130;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL130"___________;	"Coil 130"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
131;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL131"___________;	"Coil 131"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
132;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL132"___________;	"Coil 132"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
133;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL133"___________;	"Coil 133"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
134;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL134"___________;	"Coil 134"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
135;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL135"___________;	"Coil 135"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
136;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL136"___________;	"Coil 136"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
137;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL137"___________;	"Coil 137"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
138;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL138"___________;	"Coil 138"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
139;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL139"___________;	"Coil 139"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
140;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL140"___________;	"Coil 140"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
141;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL141"___________;	"Coil 141"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
142;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL142"___________;	"Coil 142"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
143;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL143"___________;	"Coil 143"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
144;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL144"___________;	"Coil 144"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
145;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL145"___________;	"Coil 145"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
146;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL146"___________;	"Coil 146"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
147;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL147"___________;	"Coil 147"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
148;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL148"___________;	"Coil 148"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
149;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL149"___________;	"Coil 149"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
150;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL150"___________;	"Coil 150"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
151;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL151"___________;	"Coil 151"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
152;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL152"___________;	"Coil 152"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
153;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL153"___________;	"Coil 153"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
154;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL154"___________;	"Coil 154"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
155;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL155"___________;	"Coil 155"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
156;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL156"___________;	"Coil 156"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
157;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL157"___________;	"Coil 157"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
158;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL158"___________;	"Coil 158"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
159;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL159"___________;	"Coil 159"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
160;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL160"___________;	"Coil 160"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
161;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL161"___________;	"Coil 161"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
162;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL162"___________;	"Coil 162"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
163;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL163"___________;	"Coil 163"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
164;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL164"___________;	"Coil 164"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
165;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL165"___________;	"Coil 165"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
166;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL166"___________;	"Coil 166"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
167;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL167"___________;	"Coil 167"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
168;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL168"___________;	"Coil 168"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
169;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL169"___________;	"Coil 169"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
170;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL170"___________;	"Coil 170"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
171;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL171"___________;	"Coil 171"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
172;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL172"___________;	"Coil 172"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
173;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL173"___________;	"Coil 173"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
174;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL174"___________;	"Coil 174"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
175;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL175"___________;	"Coil 175"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
